Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1742306802.4630086,47,1742306802,458088054,gps,0,1,-19.869565751666666,-43.96421304833334,808.1790161132812,51.179713216384926,0.0,0.0,0.0,35.58122682037356,0.0,0.0,0.0,390.497108335785,1
1742306803.46542,48,1742306803,462109866,gps,0,1,-19.869567710000002,-43.96421611000001,808.2360229492188,51.179713216384926,0.0,0.0,0.0,35.58122682037356,0.0,0.0,0.0,390.5761882998049,1
1742306804.4684734,49,1742306804,465310317,gps,0,1,-19.869570051666667,-43.964219054999994,808.2449951171875,51.179713216384926,0.0,0.0,0.0,35.58122682037356,0.0,0.0,0.0,390.69478555731257,1
1742306805.4715388,50,1742306805,468413295,gps,0,1,-19.869572073333334,-43.96422166333333,808.2360229492188,51.165407253662124,0.0,0.0,0.0,35.59315695585633,0.0,0.0,0.0,390.8133254051827,1
1742306806.4744592,51,1742306806,471484426,gps,-1,1,-19.869574288333336,-43.964224506666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306807.4782345,52,1742306807,474358312,gps,-1,1,-19.869576611666666,-43.96422790666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306808.48424,53,1742306808,477919963,gps,-1,1,-19.869578484999998,-43.96423077333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306809.4871352,54,1742306809,483985513,gps,0,1,-19.869580461666665,-43.964233441666664,808.0869750976562,51.165407253662124,0.0,0.0,0.0,35.605089091049194,0.0,0.0,0.0,391.20881444128463,1
1742306810.491156,55,1742306810,487096052,gps,0,1,-19.869582363333333,-43.96423622833333,808.0330200195312,51.165407253662124,0.0,0.0,0.0,35.61702322595215,0.0,0.0,0.0,391.28796643301393,1
1742306811.4936016,56,1742306811,490344774,gps,0,1,-19.869584346666667,-43.96423894333334,808.0239868164062,51.165407253662124,0.0,0.0,0.0,35.61702322595215,0.0,0.0,0.0,391.40667169775406,1
1742306812.5050368,57,1742306812,493596576,gps,0,1,-19.869586331666667,-43.96424178166667,807.9439697265625,51.15110329064942,0.0,0.0,0.0,35.61702322595215,0.0,0.0,0.0,391.48576822424366,1
1742306813.507125,58,1742306813,504074859,gps,0,1,-19.8695883,-43.96424433833334,807.9099731445312,51.15110329064942,0.0,0.0,0.0,35.628959360565204,0.0,0.0,0.0,391.60450348654194,1
1742306814.5135229,59,1742306814,507915238,gps,0,1,-19.869590533333334,-43.964247143333324,807.9180297851562,51.15110329064942,0.0,0.0,0.0,35.628959360565204,0.0,0.0,0.0,391.68369549536146,1
1742306815.5205264,60,1742306815,513426631,gps,0,1,-19.869592668333333,-43.964249966666664,807.948974609375,51.15110329064942,0.0,0.0,0.0,35.628959360565204,0.0,0.0,0.0,391.802460766663,1
1742306816.5244114,61,1742306816,520258104,gps,0,1,-19.869594911666663,-43.96425270166666,807.9390258789062,51.15110329064942,0.0,0.0,0.0,35.64089749488835,0.0,0.0,0.0,391.88159727209495,1
1742306817.5263379,62,1742306817,523890502,gps,0,1,-19.869596935,-43.96425545833334,807.843994140625,51.15110329064942,0.0,0.0,0.0,35.64089749488835,0.0,0.0,0.0,392.00039254095464,1
1742306818.5304046,63,1742306818,526202272,gps,0,1,-19.869599033333333,-43.964258126666664,807.843017578125,51.15110329064942,0.0,0.0,0.0,35.64089749488835,0.0,0.0,0.0,392.07962456686437,1
1742306819.532549,64,1742306819,530271154,gps,0,1,-19.86960136,-43.96426123,807.8510131835938,51.15110329064942,0.0,0.0,0.0,35.65284332331089,0.0,0.0,0.0,392.1984498447273,1
1742306820.5385387,65,1742306820,532523139,gps,0,1,-19.869603388333335,-43.96426381,807.7899780273438,51.1368013273468,0.0,0.0,0.0,35.65284332331089,0.0,0.0,0.0,392.2776263291016,1
1742306821.5402062,66,1742306821,537819433,gps,0,1,-19.869605468333337,-43.96426646500001,807.7230224609375,51.1368013273468,0.0,0.0,0.0,35.66478545800783,0.0,0.0,0.0,392.3964816045227,1
1742306822.5443852,67,1742306822,540220154,gps,0,1,-19.869607775000002,-43.964269398333336,807.6619873046875,51.1368013273468,0.0,0.0,0.0,35.66478545800783,0.0,0.0,0.0,392.47575364752265,1
1742306823.546985,68,1742306823,544001131,gps,0,1,-19.86960991833333,-43.96427215166667,807.6209716796875,51.1368013273468,0.0,0.0,0.0,35.66478545800783,0.0,0.0,0.0,392.59456334753486,1
1742306824.550889,69,1742306824,546936511,gps,0,1,-19.869611938333332,-43.96427490999999,807.5590209960938,53.23161605566406,0.0,0.0,0.0,37.503376887725835,0.0,0.0,0.0,425.06071290887485,1
1742306825.55339,70,1742306825,550838490,gps,0,1,-19.869613893333334,-43.96427769499999,807.5419921875,53.23161605566406,0.0,0.0,0.0,37.503376887725835,0.0,0.0,0.0,425.18443460998606,1
1742306826.556015,71,1742306826,553032086,gps,0,1,-19.869615825,-43.96428062166667,807.5430297851562,53.23161605566406,0.0,0.0,0.0,37.503376887725835,0.0,0.0,0.0,425.3493986582034,1
1742306827.5590014,72,1742306827,555984100,gps,0,1,-19.869617913333332,-43.964283233333326,807.5189819335938,53.23161605566406,0.0,0.0,0.0,37.515625,0.0,0.0,0.0,425.4731623627631,1
1742306828.5624652,73,1742306828,558868552,gps,0,1,-19.86961994833333,-43.964286036666664,807.510986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306829.565876,74,1742306829,562493013,gps,0,1,-19.869622153333335,-43.96428887333333,807.4580078125,51.12250136375428,0.0,0.0,0.0,35.68867572653198,0.0,0.0,0.0,393.189259759125,1
1742306830.5693622,75,1742306830,565801179,gps,0,1,-19.869624165,-43.96429171166666,807.343017578125,51.12250136375428,0.0,0.0,0.0,35.7006238603592,0.0,0.0,0.0,393.3082530507818,1
1742306831.5722704,76,1742306831,569494167,gps,0,1,-19.869626143333335,-43.96429444166667,807.2830200195312,51.12250136375428,0.0,0.0,0.0,35.7006238603592,0.0,0.0,0.0,393.38754147314467,1
1742306832.5754466,77,1742306832,572078876,gps,0,1,-19.86962812,-43.96429734,807.2579956054688,51.12250136375428,0.0,0.0,0.0,35.71257399389651,0.0,0.0,0.0,393.50656476235963,1
1742306833.5786536,78,1742306833,575022655,gps,-1,1,-19.869630445,-43.964300298333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306834.5818179,79,1742306834,578500473,gps,-1,1,-19.86963324,-43.964303709999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306835.5851383,80,1742306835,581880279,gps,-1,1,-19.869635476666666,-43.96430668833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306836.5873072,81,1742306836,585029180,gps,0,1,-19.869637601666668,-43.96430923333334,807.322998046875,51.108203399871854,0.0,0.0,0.0,35.724531827255305,0.0,0.0,0.0,393.903413845459,1
1742306837.589467,82,1742306837,587261681,gps,0,1,-19.869639595000002,-43.96431217666667,807.2329711914062,51.108203399871854,0.0,0.0,0.0,35.724531827255305,0.0,0.0,0.0,393.98283795034877,1
1742306838.5914452,83,1742306838,589358162,gps,0,1,-19.86964171,-43.96431495,807.219970703125,51.108203399871854,0.0,0.0,0.0,35.73648596116641,0.0,0.0,0.0,394.10187552575735,1
1742306839.5944858,84,1742306839,591424847,gps,0,1,-19.869644106666666,-43.96431783166666,807.1900024414062,51.108203399871854,0.0,0.0,0.0,35.73648596116641,0.0,0.0,0.0,394.181319635376,1
1742306840.5962307,85,1742306840,593994005,gps,0,1,-19.869646131666666,-43.96432054499999,807.156982421875,51.108203399871854,0.0,0.0,0.0,35.73648596116641,0.0,0.0,0.0,394.30046293771375,1
1742306841.6011631,86,1742306841,596185523,gps,0,1,-19.869648485000003,-43.96432347666667,807.1630249023438,51.093900618835505,0.0,0.0,0.0,35.748442094787606,0.0,0.0,0.0,394.37985130361994,1
1742306842.6011405,87,1742306842,598817749,gps,0,1,-19.869650691666667,-43.96432664,807.051025390625,51.093900618835505,0.0,0.0,0.0,35.748442094787606,0.0,0.0,0.0,394.49902460351586,1
1742306843.6037643,88,1742306843,601082067,gps,0,1,-19.869652663333333,-43.96432927000001,806.9860229492188,51.093900618835505,0.0,0.0,0.0,35.748442094787606,0.0,0.0,0.0,394.5785087302247,1
1742306844.6069477,89,1742306844,603710273,gps,0,1,-19.869655053333336,-43.964331935000004,806.9390258789062,51.093900618835505,0.0,0.0,0.0,35.7604002281189,0.0,0.0,0.0,394.69771203912387,1
1742306845.6117685,90,1742306845,607037099,gps,0,1,-19.869657465,-43.964334644999994,806.9539794921875,51.093900618835505,0.0,0.0,0.0,35.7604002281189,0.0,0.0,0.0,394.77714038397244,1
1742306846.6141603,91,1742306846,611675243,gps,0,1,-19.869659843333334,-43.964336928333324,806.8770141601562,51.093900618835505,0.0,0.0,0.0,35.77236036116028,0.0,0.0,0.0,394.8566525218812,1
